family_name_1,given_name_1,family_name_2,given_name_2,year,field,subfield,type,unrecognized?,reference
Haag,Rudolf,Kastler,Daniel,1964,Physics,Quantum Field Theory,,,https://en.wikipedia.org/wiki/Local_quantum_field_theory
Haag,Rudolf,Ruelle,David,1958,Physics,Quantum Field Theory,,,https://en.wikipedia.org/wiki/Wightman_axioms
Haber,Fritz,Weiss,Joseph,1932,Chemistry,,,,
Haber,Fritz,Bosch,Carl,1909,Chemistry,,,,
Hagen,Gotthilf,Poiseuille,Jean,1838,Engineering,Fluid Mechanics,,,https://en.wikipedia.org/wiki/Hagen–Poiseuille_equation
Hamilton,William,Jacobi,Carl,1842,,,,,http://www.scholarpedia.org/article/Hamilton-Jacobi_equation#History
Hardy,Godfrey,Littlewood,John,1923,Mathematics,Number Theory,,,https://en.wikipedia.org/wiki/Second_Hardy–Littlewood_conjecture
Hardy,Godfrey,Ramanujan,Srinivasa,1918,Mathematics,Number Theory,,,https://en.wikipedia.org/wiki/Partition_function_(number_theory)#Approximation_formulas
Hardy,Godfrey,Weinberg,Wilhelm,1908,Biology,Genetics,,,https://en.wikipedia.org/wiki/Hardy–Weinberg_principle
Hartle,James,Hawking,Stephen,1983,Physics,Cosmology,,,https://en.wikipedia.org/wiki/Hartle–Hawking_state
Hartree,Douglas,Fock,Vladimir,1935,Physics,Quantum Mechanics,,,
Hasse,Helmut,Minkowski,Hermann,,Mathematics,Number Theory,,,https://en.wikipedia.org/wiki/Hasse–Minkowski_theorem
Heaviside,Oliver,Feynman,Richard,,Physics,Electromagnetism,,,https://en.wikipedia.org/wiki/Jefimenko%27s_equations#Heaviside–Feynman_formula
Heitler,Walter,London,Fritz,1927,Chemistry,Quantum Chemistry,,,https://en.wikipedia.org/wiki/Valence_bond_theory
Hellmann,Hans,Feynman,Richard,1932,Physics,Quantum Mechanics,,"Güttinger, Pauli",https://en.wikipedia.org/wiki/Hellmann–Feynman_theorem
Helmholtz,Hermann,Kohlrausch,V. A.,1935,Biology,,,,https://en.wikipedia.org/wiki/Helmholtz–Kohlrausch_effect
Hermite,Charles,Hadamard,Jacques,,Mathematics,,inequality,,https://en.wikipedia.org/wiki/Hermite–Hadamard_inequality
Hermite,Charles,Lindemann,Ferdinand,1882,Mathematics,Number Theory,theorem,Karl Weierstrass,https://en.wikipedia.org/wiki/Lindemann–Weierstrass_theorem
Hermite,Charles,Minkowski,Hermann,,Mathematics,Number Theory,,,https://en.wikipedia.org/wiki/Hermite–Minkowski_theorem
Hertz,Heinrich,Knudsen,Martin,,Chemistry,,,,https://en.wikipedia.org/wiki/Hertz–Knudsen_equation
Hilbert,David,Mumford,David,,Mathematics,,,,https://en.wikipedia.org/wiki/Hilbert–Mumford_criterion
Hilbert,David,Poincaré,Henri,,Mathematics,Algebra,,,https://en.wikipedia.org/wiki/Hilbert–Poincaré_series
Hilbert,David,Pólya,George,1982,Mathematics,,,,https://en.wikipedia.org/wiki/Hilbert–Pólya_conjecture
Hilbert,David,Schmidt,Eberhard,,Mathematics,,,,https://en.wikipedia.org/wiki/Hilbert–Schmidt_operator
Hlawka,Edmund,Zaremba,Stanisław,,Mathematics,,,,https://en.wikipedia.org/wiki/Low-discrepancy_sequence#The_formula_of_Hlawka–Zaremba
Hodge,William,Tate,John,1967,Mathematics,Group Theory,module,Jean-Pierre Serre,https://en.wikipedia.org/wiki/Hodge–Tate_module
Hohenberg,Pierre,Kohn,Walter,1964,Physics,Quantum Mechanics,,,
Holstein,Theodore,Herring,Conyers,1952,,,,,https://en.wikipedia.org/wiki/Holstein–Herring_method
Horrocks,Geoffrey,Mumford,David,1973,Mathematics,Geometry,,,https://en.wikipedia.org/wiki/Horrocks–Mumford_bundle
Huang,Kun,Rhys,A,1950,Physics,Solid-State Physics,,,
Huygens,Christiaan,Fresnel,Augustin-Jean,,Physics,Optics,,,https://en.wikipedia.org/wiki/Huygens–Fresnel_principle
Huygens,Christiaan,Steiner,Jakob,,Physics,Mechanics,,,https://en.wikipedia.org/wiki/Parallel_axis_theorem
Jahn,Hermann,Teller,Edward,1937,Physics,Solid-State Physics,,,https://en.wikipedia.org/wiki/Jahn–Teller_effect
Jefimenko,Oleg,Feynman,Richard,,Physics,Electromagnetism,,,https://en.wikipedia.org/wiki/Jefimenko%27s_equations#Heaviside–Feynman_formula
Jessen,Børge,Wintner,Aurel,1935,Mathematics,Probability/Statistics,,,https://en.wikipedia.org/wiki/Jessen–Wintner_theorem
Johnson,John,Nyquist,Harry,1926,Engineering,Electronics,,,https://en.wikipedia.org/wiki/Johnson–Nyquist_noise#History
