family_name,given_name,birth_year,death_year,birth_country,race,gender,reference
Renner,Rudolf,1909,1991,Germany,white,male,https://link.springer.com/article/10.1007/s11224-009-9479-z
Rhys,A,,,,,,
Richtmyer,Robert,1910,2003,United States,white,male,https://en.wikipedia.org/wiki/Robert_D._Richtmyer
Riemann,Bernhard,1826,1866,Germany,white,male,https://en.wikipedia.org/wiki/Bernhard_Riemann
Riesz,Frigyes,1880,1956,Austria-Hungary,white,male,https://en.wikipedia.org/wiki/Frigyes_Riesz
Ritz,Walther,1878,1909,Switzerland,white,male,https://en.wikipedia.org/wiki/Walther_Ritz
Roch,Gustav,1839,1866,Germany,white,male,https://en.wikipedia.org/wiki/Gustav_Roch
Rogers,Leonard,1862,1933,England,white,male,https://en.wikipedia.org/wiki/Leonard_James_Rogers
Rosser,John,1907,1989,United States,white,male,https://en.wikipedia.org/wiki/J._Barkley_Rosser
Rubin,Vera,1928,2016,United States,white,female,https://en.wikipedia.org/wiki/Vera_Rubin
Ruddlesden,S.N.,,,,,,
Ruelle,David,1935,,Belgium,white,male,https://en.wikipedia.org/wiki/David_Ruelle#See_also
Ruffini,Paolo,1765,1822,Italy,white,male,https://en.wikipedia.org/wiki/Paolo_Ruffini
Runge,Carl,1856,1927,Germany,white,male,https://en.wikipedia.org/wiki/Carl_Runge
Sackur,Otto,1880,1914,Germany,white,male,https://en.wikipedia.org/wiki/Otto_Sackur
Saffman,Philip,1931,2008,England,white,male,https://en.wikipedia.org/wiki/Philip_Saffman
Salpeter,Edwin,1924,2008,Austria,white,male,https://en.wikipedia.org/wiki/Edwin_Ernest_Salpeter
Sato,Mikio,1928,,Japan,East Asian,male,https://en.wikipedia.org/wiki/Mikio_Sato
Sato,T,,,Japan,East Asian,,
Savart,Félix,1791,1841,France,white,male,https://en.wikipedia.org/wiki/Félix_Savart
Schmidt,Erhard,1876,1959,Germany,white,male,https://en.wikipedia.org/wiki/Erhard_Schmidt#See_also
Schönberg,Mario,1914,1990,Brazil,white,male,https://en.wikipedia.org/wiki/Mário_Schenberg
Schottky,Friedrich,1851,1935,Germany,white,male,https://en.wikipedia.org/wiki/Friedrich_Schottky
Schottky,Walter,1886,1976,Germany,white,male,https://en.wikipedia.org/wiki/Walter_H._Schottky
Schrödinger,Erwin,1887,1961,Austria,white,male,https://en.wikipedia.org/wiki/Erwin_Schrödinger
Schulz,Günter,1905,1999,Poland,white,male,https://de.wikipedia.org/wiki/Günter_Victor_Schulz
Schwarz,Hermann,1843,1921,Germany,white,male,https://en.wikipedia.org/wiki/Hermann_Schwarz
